Date,"Audience ayant installé l'application (Tous les utilisateurs, Utilisateurs uniques, Par intervalle, Quotidiennes) : Tous les pays/régions","Audience ayant installé l'application (Tous les utilisateurs, Utilisateurs uniques, Par intervalle, Quotidiennes) : Russie","Audience ayant installé l'application (Tous les utilisateurs, Utilisateurs uniques, Par intervalle, Quotidiennes) : Brésil","Audience ayant installé l'application (Tous les utilisateurs, Utilisateurs uniques, Par intervalle, Quotidiennes) : Inde","Audience ayant installé l'application (Tous les utilisateurs, Utilisateurs uniques, Par intervalle, Quotidiennes) : Mexique",Notes
17 déc. 2025,616,51,39,52,26,
18 déc. 2025,611,50,39,50,26,
19 déc. 2025,600,46,38,53,26,
20 déc. 2025,620,49,40,57,24,
21 déc. 2025,625,52,39,55,26,
22 déc. 2025,626,56,45,49,25,
23 déc. 2025,635,59,43,49,25,
24 déc. 2025,598,56,37,49,24,
25 déc. 2025,611,53,44,49,25,
26 déc. 2025,607,58,40,52,27,
27 déc. 2025,625,62,44,52,27,
28 déc. 2025,606,54,42,50,26,
29 déc. 2025,633,61,43,53,29,
30 déc. 2025,631,55,41,47,35,
31 déc. 2025,629,52,41,50,32,
1 janv. 2026,626,55,43,51,34,
2 janv. 2026,621,55,41,47,34,
3 janv. 2026,615,49,43,46,32,
4 janv. 2026,621,53,43,47,31,
5 janv. 2026,614,57,44,40,33,
6 janv. 2026,624,55,46,45,34,
7 janv. 2026,626,55,48,41,35,
8 janv. 2026,636,56,49,41,34,
9 janv. 2026,616,59,47,41,34,
10 janv. 2026,633,59,49,38,38,
11 janv. 2026,634,57,52,40,35,
12 janv. 2026,639,57,48,44,34,
13 janv. 2026,649,57,54,44,37,
14 janv. 2026,650,57,55,41,35,
15 janv. 2026,655,60,50,43,37,
16 janv. 2026,654,57,53,45,38,
